sample,fastq_1,fastq_2,strandedness
SRR12475446,../../data/fastq/SRR12475446_1.fastq.gz,../../data/fastq/SRR12475446_2.fastq.gz,auto
SRR12475447,../../data/fastq/SRR12475447_1.fastq.gz,../../data/fastq/SRR12475447_2.fastq.gz,auto
SRR12475448,../../data/fastq/SRR12475448_1.fastq.gz,../../data/fastq/SRR12475448_2.fastq.gz,auto
SRR12475449,../../data/fastq/SRR12475449_1.fastq.gz,../../data/fastq/SRR12475449_2.fastq.gz,auto
SRR12475450,../../data/fastq/SRR12475450_1.fastq.gz,../../data/fastq/SRR12475450_2.fastq.gz,auto
SRR12475451,../../data/fastq/SRR12475451_1.fastq.gz,../../data/fastq/SRR12475451_2.fastq.gz,auto
SRR12475452,../../data/fastq/SRR12475452_1.fastq.gz,../../data/fastq/SRR12475452_2.fastq.gz,auto
SRR12475453,../../data/fastq/SRR12475453_1.fastq.gz,../../data/fastq/SRR12475453_2.fastq.gz,auto
SRR12475454,../../data/fastq/SRR12475454_1.fastq.gz,../../data/fastq/SRR12475454_2.fastq.gz,auto
SRR12475455,../../data/fastq/SRR12475455_1.fastq.gz,../../data/fastq/SRR12475455_2.fastq.gz,auto
SRR12475456,../../data/fastq/SRR12475456_1.fastq.gz,../../data/fastq/SRR12475456_2.fastq.gz,auto
SRR12475468,../../data/fastq/SRR12475468_1.fastq.gz,../../data/fastq/SRR12475468_2.fastq.gz,auto
SRR12475469,../../data/fastq/SRR12475469_1.fastq.gz,../../data/fastq/SRR12475469_2.fastq.gz,auto
SRR12475470,../../data/fastq/SRR12475470_1.fastq.gz,../../data/fastq/SRR12475470_2.fastq.gz,auto
SRR12475471,../../data/fastq/SRR12475471_1.fastq.gz,../../data/fastq/SRR12475471_2.fastq.gz,auto
SRR12475472,../../data/fastq/SRR12475472_1.fastq.gz,../../data/fastq/SRR12475472_2.fastq.gz,auto
SRR12475473,../../data/fastq/SRR12475473_1.fastq.gz,../../data/fastq/SRR12475473_2.fastq.gz,auto
SRR12475474,../../data/fastq/SRR12475474_1.fastq.gz,../../data/fastq/SRR12475474_2.fastq.gz,auto
SRR12475475,../../data/fastq/SRR12475475_1.fastq.gz,../../data/fastq/SRR12475475_2.fastq.gz,auto
SRR12475476,../../data/fastq/SRR12475476_1.fastq.gz,../../data/fastq/SRR12475476_2.fastq.gz,auto